Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition
Rainy,Mountain Road,Morning,2.0,30.0,5.0,0.0,Dry,Car,30.0,28.0,Artificial Light
Clear,Highway,Afternoon,1.0,50.0,5.0,0.0,Dry,Car,46.0,37.0,No Light
Clear,Mountain Road,Evening,2.0,50.0,4.0,0.0,Under Construction,Car,18.0,17.0,Daylight
Rainy,Highway,Afternoon,0.0,80.0,5.0,0.0,Dry,Motorcycle,24.0,23.0,Daylight
Clear,Highway,Evening,2.0,60.0,5.0,0.0,Dry,Car,52.0,52.0,Daylight
Clear,Rural Road,Morning,1.0,30.0,1.0,0.0,Dry,Car,21.0,21.0,Artificial Light
Clear,Highway,Evening,0.0,100.0,4.0,1.0,Wet,Car,33.0,26.0,Artificial Light
Clear,Highway,Afternoon,2.0,60.0,4.0,1.0,Icy,Car,19.0,11.0,Artificial Light
Clear,Highway,Afternoon,0.0,60.0,3.0,0.0,Dry,Motorcycle,41.0,41.0,No Light
Clear,Highway,Morning,0.0,30.0,3.0,0.0,Dry,Car,27.0,27.0,Artificial Light
Clear,Highway,Afternoon,1.0,50.0,3.0,0.0,Dry,Car,26.0,17.0,Artificial Light
Snowy,Highway,Afternoon,1.0,30.0,4.0,1.0,Dry,Car,66.0,39.0,Daylight
Clear,Highway,Afternoon,0.0,60.0,2.0,1.0,Wet,Car,41.0,41.0,Artificial Light
Clear,Highway,Evening,1.0,100.0,4.0,0.0,Dry,Truck,34.0,28.0,Artificial Light
Clear,Mountain Road,Afternoon,2.0,30.0,1.0,1.0,Dry,Car,43.0,38.0,Daylight
Stormy,Rural Road,Night,2.0,100.0,3.0,0.0,Icy,Car,48.0,39.0,Daylight
Clear,Highway,Evening,0.0,80.0,5.0,0.0,Dry,Car,23.0,22.0,Daylight
Clear,Highway,Afternoon,2.0,80.0,2.0,0.0,Dry,Car,24.0,23.0,Daylight
Rainy,Highway,Evening,2.0,100.0,3.0,0.0,Icy,Car,34.0,34.0,Artificial Light
Clear,City Road,Evening,2.0,50.0,3.0,0.0,Dry,Car,49.0,44.0,Daylight
Clear,Highway,Night,1.0,50.0,3.0,0.0,Dry,Car,36.0,35.0,Artificial Light
Rainy,Highway,Evening,2.0,80.0,1.0,0.0,Dry,Car,65.0,60.0,Artificial Light
Clear,Mountain Road,Evening,1.0,60.0,1.0,1.0,Dry,Car,30.0,25.0,Artificial Light
Snowy,Highway,Afternoon,0.0,30.0,3.0,1.0,Dry,Car,33.0,29.0,Daylight
Rainy,Highway,Afternoon,1.0,50.0,5.0,0.0,Dry,Truck,40.0,36.0,Daylight
Clear,Rural Road,Evening,0.0,80.0,2.0,1.0,Icy,Car,25.0,23.0,Daylight
Clear,Highway,Afternoon,1.0,60.0,4.0,0.0,Icy,Truck,20.0,20.0,Daylight
Rainy,Rural Road,Afternoon,2.0,80.0,3.0,0.0,Wet,Truck,64.0,57.0,Artificial Light
Stormy,City Road,Afternoon,0.0,50.0,1.0,0.0,Dry,Car,22.0,14.0,Artificial Light
Snowy,Highway,Afternoon,0.0,50.0,5.0,0.0,Dry,Car,38.0,37.0,Artificial Light
Rainy,City Road,Morning,1.0,50.0,1.0,0.0,Wet,Car,18.0,9.0,Artificial Light
Stormy,Highway,Night,1.0,60.0,5.0,0.0,Icy,Car,27.0,19.0,Daylight
Foggy,Rural Road,Afternoon,2.0,60.0,4.0,1.0,Under Construction,Car,58.0,54.0,Artificial Light
Clear,Rural Road,Morning,1.0,100.0,2.0,0.0,Dry,Truck,60.0,59.0,Artificial Light
Rainy,Highway,Evening,1.0,50.0,3.0,0.0,Dry,Motorcycle,65.0,63.0,Artificial Light
Clear,Highway,Afternoon,0.0,60.0,1.0,0.0,Icy,Car,56.0,55.0,Daylight
Foggy,Highway,Evening,0.0,60.0,3.0,1.0,Dry,Car,53.0,53.0,Daylight
Rainy,Highway,Night,0.0,100.0,5.0,0.0,Icy,Car,21.0,19.0,Artificial Light
Clear,City Road,Afternoon,2.0,60.0,1.0,0.0,Dry,Motorcycle,60.0,52.0,Artificial Light
Clear,Highway,Afternoon,2.0,100.0,2.0,0.0,Dry,Car,42.0,41.0,Artificial Light
Stormy,Rural Road,Evening,0.0,80.0,5.0,0.0,Wet,Car,60.0,39.0,Artificial Light
Snowy,City Road,Morning,1.0,100.0,1.0,1.0,Icy,Car,36.0,34.0,Daylight
Snowy,Mountain Road,Evening,2.0,80.0,2.0,1.0,Dry,Car,23.0,22.0,Daylight
Clear,Highway,Afternoon,2.0,60.0,5.0,0.0,Dry,Car,61.0,52.0,No Light
Clear,Highway,Afternoon,0.0,50.0,3.0,0.0,Dry,Car,50.0,45.0,Artificial Light
Clear,Highway,Afternoon,2.0,60.0,3.0,0.0,Dry,Car,39.0,33.0,Daylight
Clear,City Road,Afternoon,1.0,30.0,1.0,1.0,Wet,Car,36.0,31.0,Artificial Light
Stormy,Highway,Afternoon,1.0,60.0,4.0,0.0,Dry,Car,68.0,59.0,Artificial Light
Clear,City Road,Morning,1.0,60.0,5.0,0.0,Wet,Truck,59.0,53.0,Daylight
Snowy,Highway,Afternoon,1.0,30.0,3.0,0.0,Icy,Car,58.0,55.0,Artificial Light
Snowy,Highway,Morning,2.0,50.0,3.0,1.0,Icy,Car,29.0,29.0,Artificial Light
Clear,Highway,Night,1.0,60.0,5.0,0.0,Dry,Bus,20.0,15.0,Artificial Light
Clear,Highway,Afternoon,1.0,50.0,5.0,1.0,Dry,Car,27.0,24.0,Artificial Light
Snowy,Highway,Morning,2.0,50.0,5.0,1.0,Dry,Car,31.0,29.0,Artificial Light
Rainy,City Road,Evening,1.0,100.0,4.0,0.0,Icy,Bus,43.0,39.0,Daylight
Rainy,Highway,Afternoon,2.0,80.0,3.0,0.0,Dry,Car,43.0,28.0,Daylight
Clear,Mountain Road,Morning,0.0,60.0,3.0,0.0,Dry,Car,33.0,29.0,Daylight
Clear,Highway,Evening,2.0,50.0,4.0,0.0,Dry,Motorcycle,27.0,18.0,No Light
Clear,Highway,Afternoon,0.0,60.0,4.0,0.0,Wet,Car,25.0,20.0,Artificial Light
Clear,City Road,Evening,1.0,50.0,2.0,0.0,Dry,Car,68.0,62.0,Artificial Light
Rainy,City Road,Afternoon,1.0,100.0,3.0,0.0,Wet,Car,54.0,50.0,Artificial Light
Snowy,City Road,Evening,2.0,60.0,3.0,0.0,Wet,Truck,38.0,34.0,Artificial Light
Clear,Highway,Evening,1.0,60.0,2.0,0.0,Wet,Car,32.0,27.0,Artificial Light
Clear,Mountain Road,Afternoon,1.0,30.0,5.0,1.0,Wet,Car,38.0,36.0,Artificial Light
Clear,City Road,Afternoon,0.0,60.0,1.0,0.0,Under Construction,Motorcycle,43.0,40.0,Artificial Light
Clear,City Road,Evening,0.0,50.0,1.0,1.0,Wet,Truck,57.0,53.0,Daylight
Clear,City Road,Afternoon,2.0,60.0,1.0,0.0,Wet,Car,53.0,49.0,Daylight
Clear,Highway,Morning,1.0,60.0,3.0,0.0,Under Construction,Truck,43.0,36.0,No Light
Stormy,City Road,Evening,1.0,189.0,13.0,0.0,Icy,Car,68.0,60.0,Artificial Light
Snowy,City Road,Afternoon,2.0,60.0,3.0,0.0,Dry,Car,22.0,15.0,Artificial Light
Foggy,Highway,Afternoon,1.0,80.0,2.0,0.0,Icy,Car,30.0,25.0,Artificial Light
Snowy,Highway,Evening,1.0,30.0,5.0,0.0,Dry,Car,52.0,45.0,Daylight
Clear,Highway,Afternoon,2.0,30.0,4.0,0.0,Wet,Truck,47.0,45.0,Daylight
Clear,Highway,Evening,1.0,50.0,4.0,1.0,Dry,Car,29.0,25.0,Artificial Light
Rainy,Highway,Morning,2.0,80.0,2.0,0.0,Dry,Car,43.0,35.0,Artificial Light
Clear,Highway,Afternoon,0.0,50.0,2.0,0.0,Dry,Car,51.0,51.0,Artificial Light
Foggy,Highway,Afternoon,1.0,50.0,2.0,0.0,Wet,Motorcycle,19.0,19.0,Daylight
Clear,Rural Road,Morning,0.0,60.0,2.0,0.0,Dry,Car,68.0,61.0,No Light
Rainy,Highway,Night,0.0,50.0,3.0,0.0,Dry,Car,69.0,39.0,Artificial Light
Clear,Highway,Afternoon,1.0,50.0,5.0,0.0,Icy,Car,23.0,17.0,Artificial Light
Snowy,City Road,Afternoon,1.0,60.0,1.0,0.0,Dry,Motorcycle,48.0,45.0,No Light
Clear,City Road,Afternoon,2.0,60.0,4.0,0.0,Dry,Car,32.0,24.0,Artificial Light
Rainy,Highway,Morning,1.0,60.0,3.0,0.0,Dry,Car,44.0,39.0,Daylight
Rainy,City Road,Afternoon,2.0,50.0,4.0,0.0,Dry,Car,20.0,15.0,Artificial Light
Snowy,Rural Road,Afternoon,2.0,100.0,4.0,0.0,Dry,Car,40.0,36.0,Daylight
Stormy,Highway,Afternoon,0.0,60.0,4.0,0.0,Under Construction,Motorcycle,46.0,44.0,Artificial Light
Clear,Highway,Evening,1.0,30.0,5.0,1.0,Icy,Motorcycle,62.0,61.0,Daylight
Foggy,Rural Road,Afternoon,2.0,60.0,5.0,0.0,Dry,Car,28.0,24.0,Artificial Light
Clear,Highway,Afternoon,0.0,100.0,1.0,0.0,Under Construction,Car,24.0,18.0,Artificial Light
Rainy,Rural Road,Morning,2.0,60.0,2.0,1.0,Icy,Car,18.0,18.0,Daylight
Foggy,Highway,Afternoon,1.0,100.0,4.0,0.0,Icy,Car,43.0,37.0,Daylight
Rainy,Highway,Afternoon,1.0,100.0,2.0,0.0,Dry,Bus,26.0,18.0,Daylight
Foggy,Highway,Afternoon,0.0,50.0,3.0,0.0,Wet,Car,66.0,65.0,Daylight
Rainy,City Road,Afternoon,0.0,60.0,3.0,0.0,Icy,Car,34.0,27.0,Artificial Light
Clear,Rural Road,Morning,1.0,80.0,4.0,0.0,Dry,Bus,39.0,35.0,Artificial Light
Clear,City Road,Evening,1.0,80.0,5.0,0.0,Icy,Car,43.0,41.0,Daylight
Rainy,Highway,Morning,0.0,30.0,3.0,0.0,Dry,Car,27.0,26.0,Daylight
Foggy,Highway,Morning,1.0,80.0,3.0,0.0,Icy,Motorcycle,42.0,36.0,Artificial Light
Clear,Rural Road,Afternoon,1.0,50.0,4.0,0.0,Dry,Car,49.0,40.0,Daylight
Clear,City Road,Afternoon,2.0,50.0,1.0,0.0,Dry,Car,56.0,52.0,Artificial Light
Clear,Highway,Morning,2.0,60.0,4.0,0.0,Wet,Car,30.0,28.0,Artificial Light
Snowy,Highway,Evening,1.0,100.0,3.0,0.0,Wet,Car,54.0,53.0,Artificial Light
Clear,Highway,Night,0.0,120.0,5.0,0.0,Icy,Car,67.0,63.0,Daylight
Clear,Rural Road,Evening,1.0,30.0,3.0,0.0,Wet,Car,41.0,35.0,Artificial Light
Clear,Highway,Morning,0.0,80.0,1.0,1.0,Wet,Car,55.0,49.0,Artificial Light
Rainy,Highway,Afternoon,2.0,60.0,5.0,0.0,Dry,Car,34.0,32.0,Artificial Light
Rainy,Highway,Night,1.0,60.0,4.0,1.0,Dry,Truck,31.0,24.0,Daylight
Rainy,Highway,Night,2.0,100.0,4.0,0.0,Wet,Car,22.0,21.0,Artificial Light
Clear,City Road,Morning,1.0,60.0,2.0,0.0,Dry,Car,64.0,59.0,Artificial Light
Clear,Highway,Morning,0.0,60.0,5.0,0.0,Wet,Car,45.0,41.0,Artificial Light
Clear,Mountain Road,Afternoon,2.0,120.0,2.0,0.0,Icy,Car,50.0,45.0,Daylight
Rainy,Highway,Afternoon,1.0,50.0,2.0,0.0,Dry,Car,29.0,39.0,Artificial Light
Snowy,Rural Road,Evening,1.0,80.0,2.0,0.0,Wet,Car,27.0,18.0,Daylight
Clear,Highway,Evening,1.0,60.0,5.0,1.0,Dry,Car,26.0,17.0,Daylight
Clear,Highway,Evening,2.0,30.0,1.0,1.0,Icy,Car,68.0,67.0,Artificial Light
Foggy,Highway,Afternoon,0.0,60.0,3.0,0.0,Icy,Car,43.0,37.0,Artificial Light
Foggy,City Road,Evening,0.0,100.0,1.0,0.0,Dry,Car,35.0,26.0,Artificial Light
Foggy,Highway,Morning,0.0,60.0,2.0,0.0,Dry,Truck,46.0,39.0,Daylight
Snowy,Highway,Evening,1.0,100.0,5.0,0.0,Under Construction,Car,47.0,39.0,Daylight
Rainy,Highway,Night,2.0,30.0,5.0,0.0,Icy,Car,56.0,55.0,Daylight
Snowy,City Road,Evening,1.0,50.0,2.0,0.0,Wet,Car,67.0,65.0,Artificial Light
Rainy,Mountain Road,Evening,2.0,100.0,3.0,0.0,Icy,Truck,59.0,57.0,Artificial Light
Clear,Highway,Afternoon,1.0,30.0,1.0,0.0,Wet,Car,25.0,24.0,Artificial Light
Snowy,Rural Road,Evening,0.0,100.0,5.0,0.0,Dry,Car,28.0,21.0,Artificial Light
Clear,Highway,Afternoon,0.0,60.0,4.0,0.0,Under Construction,Car,24.0,19.0,Artificial Light
Clear,Highway,Afternoon,0.0,100.0,5.0,0.0,Dry,Car,43.0,41.0,Daylight
Stormy,City Road,Morning,1.0,60.0,1.0,1.0,Under Construction,Motorcycle,52.0,50.0,Artificial Light
Foggy,Highway,Afternoon,1.0,60.0,1.0,0.0,Under Construction,Car,63.0,62.0,Artificial Light
Clear,Highway,Evening,1.0,80.0,2.0,0.0,Under Construction,Car,24.0,21.0,No Light
Clear,Highway,Morning,1.0,100.0,4.0,0.0,Icy,Car,40.0,35.0,Artificial Light
Clear,Highway,Morning,2.0,100.0,3.0,0.0,Dry,Car,40.0,33.0,Artificial Light
Foggy,Highway,Morning,0.0,80.0,4.0,0.0,Dry,Car,56.0,51.0,No Light
Clear,City Road,Afternoon,1.0,60.0,1.0,0.0,Dry,Car,49.0,47.0,No Light
Rainy,Rural Road,Afternoon,2.0,60.0,4.0,0.0,Dry,Car,46.0,40.0,Daylight
Stormy,Highway,Night,1.0,100.0,3.0,0.0,Icy,Car,29.0,21.0,Daylight
Clear,Highway,Morning,0.0,60.0,4.0,0.0,Icy,Car,43.0,58.0,Artificial Light
Rainy,Rural Road,Afternoon,1.0,60.0,4.0,0.0,Dry,Car,52.0,44.0,Artificial Light
Clear,Mountain Road,Evening,0.0,60.0,4.0,0.0,Dry,Car,69.0,60.0,Daylight
Rainy,Highway,Afternoon,1.0,60.0,2.0,0.0,Dry,Car,41.0,41.0,Artificial Light
Stormy,Mountain Road,Evening,2.0,50.0,3.0,0.0,Dry,Bus,58.0,51.0,No Light
Clear,Highway,Morning,2.0,120.0,3.0,0.0,Wet,Car,43.0,40.0,Daylight
Clear,Highway,Night,1.0,100.0,5.0,1.0,Dry,Car,67.0,64.0,Daylight
Clear,Highway,Afternoon,1.0,100.0,2.0,0.0,Dry,Car,20.0,15.0,Artificial Light
Rainy,Highway,Afternoon,2.0,60.0,5.0,0.0,Dry,Car,24.0,24.0,Artificial Light
Clear,Rural Road,Night,0.0,60.0,5.0,0.0,Wet,Truck,46.0,45.0,Artificial Light
Clear,Highway,Night,2.0,60.0,4.0,0.0,Dry,Car,55.0,51.0,Artificial Light
Foggy,Rural Road,Night,0.0,50.0,1.0,0.0,Dry,Car,65.0,63.0,Daylight
Clear,Highway,Evening,1.0,50.0,3.0,0.0,Dry,Car,44.0,40.0,Daylight
Rainy,Highway,Morning,2.0,50.0,4.0,0.0,Dry,Truck,22.0,18.0,Daylight
Clear,City Road,Evening,1.0,80.0,4.0,0.0,Dry,Car,58.0,57.0,Daylight
Foggy,Highway,Evening,2.0,100.0,4.0,0.0,Dry,Car,27.0,18.0,Artificial Light
Foggy,Highway,Evening,0.0,50.0,3.0,0.0,Dry,Car,64.0,62.0,Artificial Light
Snowy,City Road,Night,2.0,80.0,1.0,0.0,Dry,Car,57.0,54.0,Artificial Light
Clear,City Road,Morning,0.0,50.0,5.0,0.0,Dry,Truck,68.0,61.0,Daylight
Clear,Highway,Evening,2.0,80.0,4.0,0.0,Under Construction,Car,43.0,54.0,Artificial Light
Clear,Highway,Evening,0.0,60.0,3.0,0.0,Dry,Car,29.0,39.0,No Light
Clear,Highway,Afternoon,2.0,100.0,4.0,0.0,Dry,Car,39.0,34.0,Artificial Light
Rainy,Highway,Night,1.0,100.0,5.0,0.0,Wet,Motorcycle,47.0,39.0,Artificial Light
Snowy,City Road,Morning,1.0,100.0,2.0,0.0,Dry,Car,43.0,18.0,Artificial Light
Stormy,Highway,Morning,0.0,60.0,1.0,0.0,Dry,Car,21.0,19.0,Artificial Light
Clear,Rural Road,Evening,1.0,80.0,5.0,0.0,Under Construction,Car,59.0,54.0,Artificial Light
Stormy,Highway,Morning,2.0,60.0,4.0,0.0,Wet,Car,31.0,29.0,Artificial Light
Rainy,Mountain Road,Evening,1.0,60.0,3.0,1.0,Dry,Car,30.0,25.0,Artificial Light
Rainy,Highway,Afternoon,0.0,80.0,2.0,1.0,Dry,Truck,23.0,19.0,Daylight
Foggy,Mountain Road,Morning,2.0,193.0,11.0,0.0,Icy,Truck,28.0,23.0,Artificial Light
Clear,City Road,Evening,1.0,60.0,5.0,0.0,Dry,Bus,36.0,33.0,No Light
Rainy,Highway,Evening,0.0,100.0,1.0,0.0,Wet,Car,67.0,64.0,Daylight
Rainy,City Road,Evening,2.0,80.0,2.0,0.0,Icy,Bus,55.0,54.0,No Light
Rainy,Highway,Morning,0.0,100.0,2.0,0.0,Dry,Car,41.0,36.0,Artificial Light
Clear,City Road,Evening,2.0,60.0,1.0,0.0,Dry,Car,69.0,64.0,Daylight
Foggy,Highway,Afternoon,0.0,80.0,2.0,0.0,Wet,Car,40.0,36.0,Daylight
Rainy,Highway,Afternoon,1.0,60.0,3.0,0.0,Dry,Car,43.0,43.0,Artificial Light
Rainy,Rural Road,Evening,2.0,50.0,3.0,0.0,Icy,Car,23.0,15.0,Artificial Light
Rainy,City Road,Night,1.0,50.0,4.0,0.0,Dry,Car,32.0,23.0,Artificial Light
Snowy,Highway,Morning,2.0,100.0,2.0,0.0,Wet,Car,46.0,44.0,Daylight
Clear,Highway,Night,1.0,120.0,5.0,0.0,Wet,Car,43.0,67.0,Daylight
Stormy,Highway,Evening,2.0,120.0,2.0,1.0,Icy,Car,40.0,40.0,Artificial Light
Clear,Highway,Afternoon,0.0,50.0,3.0,0.0,Dry,Motorcycle,41.0,39.0,Artificial Light
Foggy,Highway,Afternoon,1.0,50.0,4.0,0.0,Dry,Truck,19.0,12.0,Daylight
Clear,Highway,Evening,0.0,50.0,5.0,0.0,Icy,Car,65.0,57.0,Artificial Light
Snowy,Highway,Morning,1.0,100.0,1.0,0.0,Dry,Car,68.0,60.0,Daylight
Stormy,Highway,Morning,2.0,80.0,3.0,0.0,Wet,Car,40.0,37.0,Artificial Light
Foggy,Rural Road,Evening,2.0,100.0,3.0,0.0,Dry,Motorcycle,24.0,24.0,Daylight
Rainy,Highway,Night,1.0,100.0,3.0,0.0,Wet,Truck,67.0,64.0,Daylight
Rainy,Highway,Afternoon,2.0,80.0,3.0,0.0,Icy,Car,30.0,28.0,Artificial Light
Foggy,City Road,Morning,1.0,50.0,4.0,0.0,Icy,Car,36.0,34.0,Daylight
Rainy,City Road,Night,1.0,80.0,4.0,0.0,Dry,Car,60.0,51.0,Daylight
Clear,Highway,Afternoon,1.0,80.0,4.0,1.0,Under Construction,Truck,40.0,35.0,Daylight
Rainy,City Road,Afternoon,2.0,50.0,5.0,0.0,Under Construction,Motorcycle,23.0,39.0,Daylight
Clear,Highway,Afternoon,1.0,60.0,5.0,0.0,Dry,Car,30.0,39.0,Daylight
Clear,Rural Road,Morning,2.0,60.0,4.0,0.0,Icy,Car,49.0,45.0,Artificial Light
Snowy,Highway,Afternoon,2.0,80.0,2.0,1.0,Icy,Truck,43.0,40.0,No Light
Clear,Mountain Road,Evening,0.0,60.0,3.0,0.0,Icy,Car,30.0,25.0,Artificial Light
Snowy,Highway,Evening,2.0,50.0,3.0,0.0,Dry,Car,25.0,22.0,Artificial Light
Stormy,Highway,Night,0.0,50.0,2.0,0.0,Dry,Car,67.0,61.0,Daylight
Foggy,Highway,Afternoon,0.0,100.0,4.0,0.0,Dry,Truck,28.0,25.0,Artificial Light
Clear,City Road,Morning,1.0,120.0,1.0,0.0,Dry,Car,59.0,54.0,Daylight
Rainy,Highway,Afternoon,0.0,60.0,3.0,0.0,Under Construction,Car,54.0,49.0,Daylight
Rainy,Highway,Afternoon,0.0,100.0,1.0,0.0,Icy,Car,43.0,67.0,Artificial Light
Clear,Rural Road,Morning,1.0,80.0,4.0,0.0,Icy,Car,60.0,51.0,Artificial Light
Rainy,Highway,Morning,1.0,30.0,3.0,0.0,Dry,Car,44.0,39.0,Artificial Light
Foggy,Highway,Afternoon,1.0,30.0,5.0,0.0,Under Construction,Car,61.0,61.0,Daylight
Rainy,City Road,Afternoon,1.0,60.0,5.0,0.0,Dry,Car,30.0,27.0,Artificial Light
Clear,Highway,Night,1.0,80.0,3.0,1.0,Dry,Car,33.0,25.0,Daylight
Rainy,Highway,Evening,0.0,60.0,3.0,0.0,Icy,Car,18.0,9.0,Artificial Light
Snowy,Rural Road,Night,2.0,80.0,3.0,1.0,Dry,Car,51.0,44.0,Artificial Light
Clear,Highway,Afternoon,1.0,50.0,4.0,0.0,Dry,Motorcycle,58.0,55.0,Daylight
Clear,Highway,Afternoon,2.0,100.0,1.0,1.0,Icy,Car,43.0,45.0,Daylight
Clear,Rural Road,Evening,1.0,80.0,5.0,0.0,Wet,Car,36.0,28.0,Daylight
Clear,Rural Road,Evening,0.0,60.0,5.0,0.0,Dry,Truck,52.0,46.0,Daylight
Snowy,City Road,Evening,0.0,50.0,1.0,0.0,Wet,Car,69.0,61.0,Daylight
Rainy,Highway,Evening,0.0,30.0,3.0,0.0,Dry,Car,35.0,34.0,No Light
Snowy,City Road,Night,2.0,60.0,2.0,1.0,Dry,Car,20.0,14.0,Daylight
Rainy,Rural Road,Evening,2.0,50.0,4.0,0.0,Dry,Bus,61.0,60.0,Daylight
Rainy,Highway,Afternoon,1.0,50.0,5.0,0.0,Icy,Truck,39.0,39.0,Artificial Light
Snowy,City Road,Afternoon,1.0,60.0,2.0,0.0,Dry,Car,43.0,37.0,Daylight
Rainy,Highway,Evening,1.0,100.0,4.0,1.0,Wet,Car,43.0,40.0,Artificial Light
Clear,City Road,Morning,2.0,60.0,1.0,0.0,Dry,Car,46.0,40.0,Artificial Light
Snowy,Highway,Night,2.0,80.0,4.0,0.0,Icy,Car,68.0,66.0,Daylight
Clear,Highway,Morning,0.0,60.0,1.0,0.0,Dry,Car,66.0,57.0,Artificial Light
Rainy,Mountain Road,Morning,2.0,100.0,1.0,0.0,Dry,Car,61.0,55.0,Artificial Light
Clear,Rural Road,Evening,2.0,50.0,2.0,0.0,Dry,Car,58.0,50.0,Artificial Light
Clear,Rural Road,Afternoon,2.0,60.0,4.0,1.0,Under Construction,Car,29.0,39.0,Artificial Light
Clear,Highway,Afternoon,1.0,100.0,5.0,1.0,Under Construction,Car,42.0,41.0,No Light
Clear,Highway,Night,2.0,50.0,3.0,0.0,Icy,Car,43.0,37.0,Daylight
Clear,City Road,Night,1.0,189.0,14.0,0.0,Dry,Car,33.0,31.0,Daylight
Foggy,City Road,Evening,2.0,30.0,2.0,0.0,Wet,Car,63.0,62.0,Daylight
Rainy,Highway,Evening,1.0,50.0,2.0,0.0,Dry,Truck,49.0,47.0,Artificial Light
Clear,City Road,Afternoon,1.0,30.0,3.0,0.0,Wet,Motorcycle,26.0,22.0,Daylight
Foggy,Highway,Afternoon,0.0,60.0,5.0,1.0,Dry,Car,57.0,56.0,Daylight
Clear,Highway,Evening,0.0,100.0,2.0,0.0,Dry,Motorcycle,34.0,30.0,Artificial Light
Clear,Rural Road,Evening,2.0,60.0,5.0,0.0,Icy,Car,23.0,39.0,No Light
Clear,City Road,Night,1.0,50.0,5.0,0.0,Dry,Motorcycle,33.0,31.0,Daylight
Rainy,Rural Road,Morning,0.0,80.0,4.0,1.0,Under Construction,Car,52.0,52.0,Artificial Light
Rainy,City Road,Evening,0.0,100.0,3.0,1.0,Icy,Car,67.0,64.0,Artificial Light
Foggy,Highway,Night,0.0,60.0,5.0,0.0,Dry,Car,69.0,39.0,Daylight
Clear,City Road,Morning,1.0,60.0,3.0,0.0,Dry,Truck,23.0,14.0,Daylight
Clear,City Road,Night,0.0,60.0,4.0,0.0,Dry,Motorcycle,63.0,62.0,Daylight
Rainy,City Road,Morning,1.0,80.0,2.0,0.0,Icy,Car,55.0,50.0,No Light
Clear,Rural Road,Evening,1.0,100.0,1.0,0.0,Icy,Car,62.0,55.0,Artificial Light
Snowy,Rural Road,Evening,1.0,80.0,3.0,0.0,Wet,Car,27.0,18.0,Daylight
Clear,Highway,Afternoon,2.0,80.0,2.0,1.0,Dry,Car,44.0,41.0,Artificial Light
Clear,Highway,Morning,1.0,50.0,4.0,0.0,Dry,Motorcycle,32.0,27.0,Daylight
Snowy,Highway,Afternoon,1.0,60.0,4.0,0.0,Dry,Truck,48.0,44.0,No Light
Foggy,Highway,Morning,0.0,30.0,3.0,0.0,Icy,Car,21.0,19.0,No Light
Snowy,Highway,Afternoon,0.0,60.0,1.0,0.0,Under Construction,Car,22.0,17.0,Artificial Light
Rainy,Rural Road,Afternoon,1.0,60.0,3.0,0.0,Dry,Car,20.0,13.0,Daylight
Clear,Highway,Morning,1.0,120.0,3.0,1.0,Under Construction,Car,60.0,53.0,Daylight
Clear,Highway,Afternoon,1.0,60.0,3.0,0.0,Under Construction,Truck,41.0,36.0,No Light
Clear,City Road,Afternoon,1.0,100.0,3.0,0.0,Under Construction,Car,38.0,38.0,Daylight
Stormy,Highway,Afternoon,1.0,60.0,3.0,0.0,Dry,Car,42.0,34.0,Artificial Light
Rainy,City Road,Night,0.0,30.0,1.0,1.0,Dry,Motorcycle,43.0,63.0,Artificial Light
Snowy,Highway,Morning,2.0,60.0,1.0,0.0,Dry,Car,53.0,52.0,Daylight
Foggy,Highway,Night,1.0,30.0,4.0,0.0,Under Construction,Car,58.0,56.0,Daylight
Clear,Highway,Morning,0.0,100.0,4.0,0.0,Dry,Motorcycle,24.0,20.0,Artificial Light
Stormy,Rural Road,Afternoon,0.0,60.0,1.0,1.0,Dry,Car,41.0,41.0,Daylight
Snowy,Highway,Night,0.0,100.0,2.0,0.0,Dry,Car,40.0,40.0,Daylight
Foggy,City Road,Evening,1.0,185.0,13.0,0.0,Dry,Car,68.0,39.0,Artificial Light
Rainy,Highway,Afternoon,0.0,60.0,1.0,0.0,Under Construction,Car,34.0,30.0,Daylight
Rainy,City Road,Afternoon,1.0,50.0,3.0,0.0,Icy,Car,35.0,26.0,Artificial Light
Rainy,Highway,Morning,0.0,60.0,4.0,1.0,Dry,Car,48.0,48.0,Artificial Light
Rainy,Highway,Morning,0.0,80.0,1.0,0.0,Dry,Car,22.0,22.0,Artificial Light
Clear,City Road,Afternoon,0.0,50.0,5.0,0.0,Wet,Car,29.0,27.0,Daylight
Clear,Highway,Morning,2.0,100.0,2.0,1.0,Wet,Car,43.0,17.0,Artificial Light
Stormy,Highway,Morning,0.0,60.0,3.0,0.0,Dry,Car,54.0,53.0,Daylight
Clear,Highway,Night,1.0,50.0,3.0,0.0,Dry,Car,46.0,44.0,Artificial Light
Clear,Highway,Morning,2.0,30.0,2.0,0.0,Dry,Car,32.0,26.0,No Light
Clear,Highway,Morning,2.0,80.0,2.0,0.0,Dry,Truck,40.0,37.0,Artificial Light
Stormy,Rural Road,Afternoon,0.0,199.0,11.0,0.0,Dry,Car,47.0,47.0,Artificial Light
Clear,Highway,Evening,1.0,60.0,5.0,0.0,Wet,Car,34.0,33.0,Artificial Light
Rainy,City Road,Afternoon,2.0,60.0,1.0,0.0,Dry,Car,32.0,30.0,Daylight
